popularity_songs,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,followers,genres,popularity_artists,PC1,PC2,cluster
0,161427,0,1922,0.563,0.184,4,-13.757,1,0.0512,0.993,1.55e-05,0.325,0.654,133.088,3,5078.0,vintage chanson,22,-1.680759705057419,0.28313175633792703,0
0,223440,0,1922,0.427,0.18,10,-15.375,1,0.067,0.989,0.0,0.128,0.431,78.459,3,5078.0,vintage chanson,22,-2.6412403135703095,-0.4839366886593385,0
0,208267,0,1922,0.511,0.206,0,-15.514,1,0.0592,0.995,0.0,0.418,0.481,70.443,4,5078.0,vintage chanson,22,-2.540355418006204,0.46543695959146125,0
0,161933,0,1924,0.676,0.467,9,-12.393,0,0.165,0.991,0.0,0.219,0.726,129.775,4,5078.0,vintage chanson,22,-0.682877657562395,0.7045441891584007,0
0,167973,0,1924,0.65,0.298,9,-13.806,1,0.138,0.991,0.0,0.373,0.844,75.95,4,5078.0,vintage chanson,22,-1.486595539457375,1.4210338114372227,0
0,158693,0,1924,0.671,0.454,10,-14.39,1,0.279,0.988,0.0,0.318,0.852,121.611,4,5078.0,vintage chanson,22,-0.9000347581399897,1.372430088371479,0
0,196507,0,1925,0.515,0.249,4,-9.382,1,0.0408,0.994,1.13e-05,0.314,0.592,72.791,4,5078.0,vintage chanson,22,-1.614281799882493,0.29092310061432547,0
0,172840,0,1925,0.415,0.33,0,-14.533,1,0.128,0.978,0.0,0.32,0.719,72.96,4,5078.0,vintage chanson,22,-1.9952075571135872,0.5375478575551235,0
0,172987,0,1925,0.582,0.371,4,-9.032,1,0.0337,0.994,0.000647,0.0937,0.76,128.547,4,5078.0,vintage chanson,22,-0.5626978866295893,-0.10537551539536791,0
0,154733,0,1926,0.537,0.383,1,-12.114,1,0.0567,0.992,4.08e-06,0.144,0.639,136.825,4,5078.0,vintage chanson,22,-1.0567257353524149,-0.17012538071557398,0
0,171427,0,1926,0.404,0.467,9,-12.8,0,0.0752,0.989,0.000134,0.201,0.72,68.586,3,5078.0,vintage chanson,22,-1.5120936977435588,0.1860725231366828,0
0,180040,0,1926,0.661,0.218,1,-13.066,1,0.0668,0.886,0.0,0.135,0.834,125.892,4,5078.0,vintage chanson,22,-1.001105190666665,0.3792760127071649,0
0,199227,0,1927,0.474,0.142,4,-15.143,1,0.0408,0.95,0.0,0.223,0.722,74.006,4,5078.0,vintage chanson,22,-2.2587142776703986,0.22985925164451845,0
0,175133,0,1927,0.649,0.292,4,-10.492,1,0.0353,0.952,1.2e-05,0.0731,0.847,128.0,4,5078.0,vintage chanson,22,-0.6175898532989182,0.15226518354094581,0
1,164067,0,1928,0.645,0.37,5,-12.21,1,0.0644,0.942,1.83e-06,0.0913,0.893,132.871,4,5078.0,vintage chanson,22,-0.5458119153988695,0.3246504240730362,0
0,140867,0,1928,0.76,0.366,2,-10.173,1,0.065,0.939,0.0,0.407,0.846,129.074,4,5078.0,vintage chanson,22,-0.338292998775151,1.2631450386199299,1
0,181800,0,1928,0.598,0.277,7,-10.338,1,0.0495,0.91,0.0,0.266,0.744,75.772,4,5078.0,vintage chanson,22,-1.1933093041082588,0.6502407404788277,0
0,164107,0,1928,0.521,0.188,9,-12.262,1,0.0459,0.897,0.0,0.102,0.705,110.853,4,5078.0,vintage chanson,22,-1.4780935153311028,-0.09911996143552627,0
0,194026,0,1929,0.707,0.316,4,-12.235,1,0.221,0.98,0.0,0.0851,0.804,111.138,3,5078.0,vintage chanson,22,-0.9471302333454381,0.7497836277822644,0
0,150047,0,1929,0.637,0.184,7,-12.268,0,0.053,0.969,0.0,0.321,0.633,92.062,4,5078.0,vintage chanson,22,-1.6932245239426515,0.7670902564786379,0
0,145914,0,1929,0.646,0.376,0,-13.469,1,0.106,0.929,0.0,0.165,0.874,78.611,3,5078.0,vintage chanson,22,-1.0887236277127652,1.0208682204398913,0
0,170173,0,1931,0.717,0.231,0,-15.574,1,0.267,0.914,0.0,0.064,0.786,119.306,4,5078.0,vintage chanson,22,-1.3816885795977845,0.8719981047526179,0
0,177640,0,1935,0.711,0.193,7,-14.279,1,0.0923,0.954,0.0,0.148,0.833,126.836,4,5078.0,vintage chanson,22,-1.2125222987345563,0.6232968488296717,0
28,192160,0,1991,0.455,0.173,10,-19.015,1,0.0772,0.935,0.0,0.6,0.542,95.784,4,5078.0,vintage chanson,22,-2.7940672189619047,0.6947874619633533,0
0,172027,0,1922,0.709,0.289,2,-14.978,1,0.18,0.967,0.0,0.119,0.84,107.515,4,294.0,vintage chanson,4,-1.2527167021273398,0.9301519328541896,0
0,151573,0,1922,0.716,0.301,5,-14.07,1,0.105,0.987,0.0,0.277,0.969,129.153,4,294.0,vintage chanson,4,-0.847893100287212,1.1590589637525912,0
0,173427,0,1923,0.623,0.292,4,-11.501,1,0.0558,0.978,0.0,0.341,0.934,61.28,3,294.0,vintage chanson,4,-1.2163510862051616,1.276712856256633,0
0,201067,0,1926,0.683,0.241,7,-14.603,1,0.375,0.957,0.00423,0.214,0.727,142.683,4,294.0,vintage chanson,4,-1.358695257467902,0.923828632518858,0
0,160427,0,1927,0.673,0.252,3,-16.271,1,0.124,0.888,0.0442,0.069,0.766,94.972,4,294.0,vintage chanson,4,-1.6009739559508458,0.627554176570911,0
4,180800,0,1922,0.42,0.288,7,-14.005,1,0.0701,0.994,0.000216,0.196,0.4,139.575,3,39.0,vintage chanson,2,-1.941795903118403,-0.7256468540514027,0
2,149760,0,1924,0.522,0.303,2,-13.906,0,0.0793,0.995,2.46e-06,0.135,0.647,79.817,4,39.0,vintage chanson,2,-1.8425401833108412,0.3001404653804717,0
0,180400,0,1922,0.592,0.408,10,-11.585,0,0.271,0.993,1.54e-06,0.413,0.766,81.126,4,28.0,vintage chanson,0,-1.2323818037810066,1.4029588218349456,0
0,177400,0,1922,0.55,0.31,10,-15.423,0,0.168,0.992,0.0,0.204,0.568,125.829,4,28.0,vintage chanson,0,-1.766688756207934,0.17687718585516785,0
0,198507,0,1923,0.374,0.383,5,-15.804,1,0.188,0.987,0.0,0.241,0.524,169.836,4,28.0,vintage chanson,0,-1.666952610237937,-0.627994506839957,0
0,185973,0,1925,0.65,0.52,9,-12.068,1,0.0817,0.953,0.0,0.0629,0.888,131.367,3,28.0,vintage chanson,0,-0.2026218868042441,0.2501237894587145,0
0,205573,0,1925,0.496,0.383,4,-11.25,1,0.0672,0.99,0.0,0.184,0.578,97.72,4,28.0,vintage chanson,0,-1.3530255798152018,-0.1578892100599614,0
0,126867,0,1928,0.569,0.312,5,-10.911,1,0.0919,0.993,7.26e-06,0.156,0.792,135.851,4,28.0,vintage chanson,0,-0.8940342047383897,0.27780622443134234,0
0,154691,0,1929,0.71,0.561,5,-12.736,1,0.472,0.955,0.0,0.213,0.963,78.705,4,28.0,vintage chanson,0,-0.6055514005618425,2.100956948242343,2
0,140267,0,1928,0.769,0.442,2,-12.697,0,0.273,0.989,1.27e-06,0.167,0.934,132.125,4,28.0,vintage chanson,0,-0.3980744644223757,1.3845987108682174,1
0,187040,0,1922,0.564,0.433,2,-14.619,0,0.356,0.979,3.74e-06,0.226,0.601,72.003,4,675.0,vintage chanson,8,-1.7833565378126264,1.033377098836552,0
0,192933,0,1922,0.625,0.35,10,-15.916,1,0.312,0.984,0.0,0.0988,0.808,81.567,4,675.0,vintage chanson,8,-1.6310378470012472,1.0375134362392078,0
